Player,Team,POS,R/L,G,GS,IP,W,L,SV,HLD,ERA,SO,BB,H,ER,LD%
Adrian Houser,NYM,SP,R,35.6,19.4,123.2,6.9,6.9,0,2,4.45,93.7,43.9,135.5,63.6,20.6
Jakob Junis,MIL,SP,R,35.6,19.4,123.2,6.7,6.9,0,2,4.34,116.3,35.7,125.4,58.9,20.3
Walker Buehler,LAD,SP,R,22.4,22.4,123.2,8.5,5.5,0,0,4.22,116,36.5,122.1,58.2,20.1
Alex Wood,OAK,SP,L,24.3,24.3,121.5,5.6,8.2,0,0,4.55,96.1,45.6,126.2,63.4,20.6
Marco Gonzales,PIT,SP,L,24.3,24.3,121.5,6.2,7.8,0,0,4.88,79.7,37.3,138,66.4,21.1
Erick Fedde,CHW,SP,R,24.3,24.3,121.5,5.4,8.7,0,0,5.1,89.5,46.9,134.7,68.5,20.6
Sean Manaea,NYM,SP,L,35.6,19.4,121.3,7,6.2,0,3,3.91,128.4,37.7,112.6,54.9,20.2
Emmet Sheehan,LAD,SP,R,35.6,19.4,121.3,7.6,5.7,0,2,4.18,138.1,51.1,104.2,56.6,19.7
Matt Manning,DET,SP,R,22.7,22.7,118,6.1,7.5,0,0,4.79,88.7,39.7,120.6,63.5,20.4
Ross Stripling,OAK,SP,R,35.6,19.4,116.4,5.4,7.5,0,2,4.41,91.6,30,122,59,20.6
Keaton Winn,SF,SP,R,35.6,19.4,116.4,6.3,6.5,0,2,4.12,99.4,36.7,116.2,54.2,20
Anthony DeSclafani,MIN,SP,R,35.6,19.4,114.8,6.2,6.6,0,2,4.39,93.2,29.7,120.1,57.8,20.3
Chris Paddack,MIN,SP,R,22.7,22.7,113.5,6.3,6.4,0,0,4.29,97.4,28.1,115.6,55.8,20.4
Trevor Rogers,MIA,SP,L,22.7,22.7,113.5,6,6.5,0,0,4.06,112.9,40.2,104.1,51.7,20.1
Chase Silseth,LAA,SP,R,35.6,19.4,113.5,5.9,6.3,0,3,4.26,110.6,46.9,106.9,52.6,20
Jordan Wicks,CHC,SP,L,22.7,22.7,113.5,6,6.7,0,0,4.42,94.2,39.8,117.5,55.2,20.5
Robert Gasser,MIL,SP,L,35.6,19.4,113.2,6.1,6.5,0,2,4.43,104.1,38.7,114.8,55.2,21.2
